"nama","ulasan","penilaian"
"Ardison Samsung","Bagi saya Tokopedia merupakan Online Shop yang terpercaya dan terbaik… TOKOPEDIA KEREN BANGET :D #TOP","5"
"samsudin elfani","Belanja paling aman ?? Tokopedia tentunya, Tokopedia emang aplikasi yg sangat baik dan sangat membantu. Belanja d @TOKOPEDIA banyak sekali promonya ongkirnya j g gratis sampe 40k. Terima kasih y tokopedia","5"
"Dhika Rahmawati","Pernah bikin akun tapi g pernah transaksi, Pas ramai2 gabung sm gojek unduh lg buat dpt promonya.. Eh pas coba beli dan pakai promo diskon 30rb, pesanan d batalkan otomatis. Katanya ada kesamaan data dg pengguna lain. Tanya sm ade, trnyata dia jg pk tokopedia pk alamat rumah. Trs kl ade kakak beda hp satu rumah satu alamat g boleh gt pk promo yg sama? Kan verifikasi sampe pakai KTP segala, g mgkin donk nik KTP double? Y sudahlah.. Jadilah di hapus lagi juga. Lebih ribet dr toko lain buat apa.. #RIBET","1"
"Reza Fisabilillah","Kemaren banyak gambar yg gk bisa kebuka pas di update malah gk bisa kebuka semua gara gara sinyal auto down ?? buat buka yg laen mah lancar malah lumayan cepet update nya yg benar dong tokopedia","3"
"Haviza Yeni official","Saya mau tanya kenapa ditoko y g mau saya beli bisa dibayar ditempat tapi p s di check out malah gk bisa ???. Tolong deh ini gmn solusinya #Help","2"
"and ZYBON","Aplikasi belanja yang sangat membantu sekali dan sudah beroperasi dengan sangat baik sekali. Banyak sekali fitur dan event yang menarik yang belum saya lihat di lapak lain seperti Rp. 0 yang memang membantu sekali. kalau kerja sama dengan Ovo dan banyak hal lainya yang transaksinya sangat mudah dan Costumer Tokopedia yang ramah dan membantu memberikan solusinya. SUKSES TERUS TOKOPEDIA","5"
"DngMX","Mau cancel order barang yg belum diproses penjual kenapa harus menunggu persetujuan penjual? Kan belum diproses! Harusnya tanpa persetujuan penjual langsung bisa cancel. Seperti di BUKALAPAK.","2"
"Dwi Aditia Satria Utama","sangat baik aplikasi nomer 1 sedunia Tokopedia .sangat Terbaik","5"
"Imam Hambali","tokopedia sekarang kok ribet yaa...email sama password udah bener terus verif lagi...berhubung nomer sudah ga aktif ganti nomor dong...pas proses upload foto gagal mulu...pdhal koneksi internet bagus"" aja...berkali"" msih gagal mulu...hari"" hingga berganti minggu masih ga bisa...kesel jadinya...uninstall bae...padahal dulu enak...ribet skarang","1"
"UTUT SUPRATMANTO","Apa cuma saya yg ngalamin susah login? Berawal g bisa melakukan transaksi terus hapus apk, instal ulang lagi, pas login g bisa-bisa.","2"
"Asep chanel","kasih 1 bintang dulu kalo bagus dan puas saya kasih 5 bintang sekaligus","1"
"Tirta Kausar","sangat bermanfaat untuk saya ,yang ingin menjadi orang kreatif","5"
"apa aja","gila sih tokopedia, gw udah download + daftar tokped pake nomer baru terus dapet diskon 30rb pas gw transaksiin tiba² pesenan gw dicancel & bilang gw nipu tokped, yaudah kalo situ bisa nilai gw nipu apk tokped gw juga bisa nilai make bintang 1 kok. gaakan gw pake lagi nih apk??","1"
"Sope Cies","Vocer dipakai,ehh pesanan dibatalkan sama tokped. Prank vocher ya.. Cek toko sebelah dah. Made in indonesia","1"
"Jo Putra","App tokopedi saya sdh lama di non aktifkan,dan tidak pernah transaksi,tiba2 saldo ovo saya di potong tokopedia dngan nominal 102.750 tmpa ada transaksi,banyak maling jg di tokopedia","1"
"Difa Safitri","Pesanan dibatalkan dari tokopedia jadi uangnya ke refund trus mau belanja lagi udah ga ada gratis ongkirnya, nyoba di hp yang lain juga gtu ini gimanasi tokopedia mau belanja aja bolak balik di refund uangnya apa karena pake voucher gratis ongkir??","1"
"Aji Ananto","Hai ka, saya sebelumnya udah belanja disini tapi saat saya mau belanja lagi dan menggunakan voucher gratis ongkir uangnya direfund, dibatalkan otomatis sm tokopedia ini gimana yaa?","1"
"Toniton","saya kesal sama toko2 yg jual barang kosong. / ga ada stok barang.nya. tpi msih di iklanin ... bbrapa kali. saya ngalamin udh beli tpi ga di renspon sm sekali. dan penjual ga ngasih kabar. kalo ga di hubungi lebih dulu.. ..","3"
"Brigitta Christa","coba sihh ovo nya itu bisaa pake nomor yg beda dengan yg terdaftar di tokped","1"
"arkadia abimanyu","kejadian terulang lagi, sudah dibayar transaksi dicancel otomatis. dana masuk saldo. saya kira sudah sesuai prosedur tp diketerangannya menyalahi syarat dan ketentuan. harusnya klo tidak sesuai dimunculkan dari awal mau transaksi.","1"
"Lisaofiasta Affh","Buset dahhh ongkirnya mahl mahal. Iya si pengguna baru dapet traktiran tapi ongkirnyaaa gilaaa. Di shopee aja 13k_27k aja/kg apalagi lazada murah bet. Ini bisa sampe 50k buset gak niat traktir apa gmna ayaa","2"
"khena","wib wib coba cek tokopedia dari tanggal 25 sampai akhir bulan....","5"
"Galang Gilang","Klo mang ga bisa pake promo ga usah di adaain promo! Pake di cancel dari sistem.. cape . Tranfer nya tapi di balikin lagi.. saldonya dah 2 x","1"
"TONY JUJUR","Sore Toko Pedia. Mau tanya kenapa pembelian bawang putih sudah 4 hari belum.diterima di Paciran ya Kak? Mohon bantuannya ya. Salam Tony JH","5"
"Eko Wiyono","keren ,promo pruductnya sering banget ,rasa ingin belinya tinggi","5"
"Rezza Ardiansah","Setelah updetan terbaru . Malah makin lemot, biaya sudah dibayar tapi belum ada konfirmasi ke tokonya. Aneh","1"
"Ahmad Rosid","Tetap berikan pelayanan yang Ter, Ter, Terbaaaiiik. Semoga tetap Exis memberikan penawaran, barang, bahan yang tidak mengecewakan pelanggan. Terima kasih","5"
"Denny Ahmad","Gimana solusinya saya sudah pesan barang dan nomor saya sudah saya ganti sebelum pemesanan namun setelah saya lihat saat proses pengiriman nomor telpon untuk menghubungi saya malah beda bagaimana solusinya","4"
"Zulfa Umm","marketplace yang sangat membantu sekali, terima kasih tokped","5"
"Candra Mulya","Iming2 gratis ongkir 50rb eh pas d belanjain malah terjadi pelanggaran padahal gaada yg aneh2. Nyangkut dah duit gw","1"
"Nurul Izzatil Ulum","saya suka sekali dg app ini, selain gampang dan menyenangkan, juga ada fitur retur yang menarik. sayangnya karena pelapak tdk sebanyak toko sebelah, jadi kurang bervariasi, tapi overall sangat cukup. terima kasih, mohon utk terus ditingkatkan ????","5"
