,nama,ulasan,label
9,UTUT SUPRATMANTO,ngalamin susah login transaksi hapus instal ulang login bisabisa,0
13,Sope Cies,vocer dipakaiehh pesan batal prank vocher cek belah made indonesia,0
18,Brigitta Christa,coba sihh bisaa pake nomor beda daftar,0
21,khena,wib wib coba cek tanggal,0
31,Nengsih Aulia Devi,pakai udh vocher mlah batal sistem aneh unfollow mending pke sho,0
38,Resa Arya Prayoga,ayo kalah popularitas belah treat customer,0
45,Aldo Refiandy,ragam cari smua voucher voicher cashback smoga tingkat,0
47,siswi istiqomah,ongkir saing kyk belah gila mending cek belah mumerrr,0
48,Ozie,doang goto gojektokopedia alternatif pilih bayar via gopay blibli pilih bayar via gopay payahlah,0
52,hsa official,maaf susah login pakai tokpeddulu susah kaya,0
57,Cheii Ssa,edar data pribadi bocor alias diperjual belikan oknum laknat coba chek email salah data bocor keteranganya liput alamat email alamat ip ttl jenis kelamin alamat sesuai laknat kelola data pribadi salah telfon nagih gajelas boomung bahas,0
65,Abbo Baon,updatetp metode bayar,0
70,Vitri Pratama,pusing ribet banding laik,0
72,cie nui,ko alamt simpan bekas dropship ilang semuakan hak hapus data pribadi,0
76,Anatasya Sella Anggreini,pesan batal uang transfer beli pro nila klarifikasi prosedur pesan batal jual limit,0
79,Tyka Pimbem,ribet beli tokopediapercuma dpet diskonmau bayar pake virtual account susah mlah batalinkrna indikasi kecuranganyaelah curang coba nuyul kagaakun cma shopee kasih diskon sma cashbackpun ribett,0
84,Azas Indra,ambil saldo otomatis beli pulsa beli pulsa cek beli pulsa rbu sistem rbu badan,0
86,Mikayla Krista,bayar indomaret selesai bayar batal sistem langgar langgar apaankatanya belah keg umur kasi nilai jelek keg,0
88,rosyid rahardja,kmaren keluh gua benerin niat kaga tokokatanya cod codmana gua kaga pilih coddr kmaren gua komplen kaga gubriskalian baca nggaklulusan smua apaanjujur gua kecewa beratmending bnyak bcdtp cod gratis ongkir,0
93,irphan azhari,bayar lumayan ribet transfer mobile banking mandiri onlineshope oren,0
95,3 Jagoan,kasih bintang nyebelin banget transaksi batal akun dobel alamat wifi istri akun ganda,0
97,Amanda Aurel,emang gue batalin pesan proses pesan dasar costumer service bot nyelesaiin nyesel gue,0
102,Dihafizhkan aja.,traktiran legit nyesel beli rp manfaatin vouchernya its alright fee power merchant oke bebas ongkir nambah ui uxnya mantep parah oren customer,0
105,Paus Surabaya,bolak beli pulsa telkomsel bangetparah,0
107,Novan Nur Romadlon,nyesel banget donlod donlod sen pake vocer gilir bayar transaksi batal,0
108,Zaki Chan,kecewa bayar bri syariah cs suruh pakai metode bayar kecewa berat butuh transaksi cepat lambat,0
116,Isti Yuliani,bayar terverif batal sistem gajadi kepake voucher potong diskon hangus,0
122,dimas mahendra,semenjak gabung sejahtera mitra ngebunuh driver halus kapitaliss karya anak bangsa,0
128,Kucing Tutu,buruk seller buruk slow respon udh aktif bertaun saran udh aktif mending dinonaktifkan produk penuhin highlight spam ganggu thx,0
134,Bunga Prameswari,transaksi refund kesel kesel ready cantumkan,0
135,ecal seventeen,ongkir mahal beban wilayah timur rekom,0
139,Afry namja keipop,beli mesin jahit via tokpedkira official brand mesin jahit,0
141,Reza Mardes,kapok kirim same day chat respon komplain tunggu duit maenin fix mending pindah shoppe kapok kapok kapok,0
146,Hanifa Maulida,susah daftar msukin suruh,0
147,Dheani Indriani,males tampil ubah dalem udh bagus ikon doang akun pojok kanan knpa ganti kyk gasukaa,0
152,Elena Thiana,traktiran ambil ad cocok kecewa thx,0
154,Galih Wicaksono,kode promo payah hoaxnya mending belah,0
158,Lisnawati Ridhia,untung customer setia,0
165,silmi karimah,pake sinyal full beda oren repot sebenernya mayan dapet vocer ongkir pakai kondisi naikin bintang,0
172,Rani Nur,kasih hapus rekening gagal ngerti hapus rekening data rekening apl suka hubung,0
173,Tiara Resti Septiyani,jelek daftar klaim hadiah batal sepihaktiap beli pakai voucher potong ribu cuekin proses seller batal sombong,0
183,Puji Raharjo,hapus susah tanggal lahir dibetulkan ubah,0
187,SOFYAN DAI,bantu cari butuh seharihari,0
195,Bagus Puspito,tindak partnership ekspedisi nama anteraja rugi buyer tolong keprofesionalan anteraja cipta ekspedisi kompeten buyer tuntut ekspedisi anteraja depak partnership,0
199,intan sopianti,udh baguss cuman sedih klau login masukin kode verifikasi papa cuman masukin udh tetep udh pencet lupa kode hasil tetep masukin sad,0
202,maria messa,menu bayar error,0
211,Khusnul Khotimah,upgrade total bebas ongkir tinggal kli sisa nyesel upgrade,0
214,Cicilia Maryati,promo rp ujungujungnya batal pesan langgar kocak dasar,0
224,Edi Sudrajat,seller nakal tertib rugi,0
226,Ngatmi Sri,payah banget cod susah beda,0
234,Wiyanti Arista,gabisa daftar nmr tulis suru ngetik salah gabisa,0
236,ummy- kajang,terjelek kerjasama tipu upembatalan danamalah ngeles alasanx,0
239,Eka Noprianti,ribet batal ngutang truss tarikdana susah haduhhhh shopee,0
260,Idan Basit,akhhhh liat menu ribet lieeer ngerti liat pesan ktmu apl acak kadut,0
263,Robin Ginting,asuransinya sontoloyo fotoin bukti juni cair dana tunggu junidana cair vidiokan kawan beli asuransinua ongkos bayar printah printah vidio vidiokan sampah badan alamat kirim retur kirim kesana mukul vidiokan hancur,0
278,Habudin Oma,udh aq updet tetep bsa mentok dipembayaran mslhnya,0
286,Kaimudin Zen,hapus tokopediakarena cek udh codtanpa batas nominaluntuk kirim jawaternyata bisabeda shopee codnominal brapapun cod,0
294,Reyza Surbakti,layan buruk utama komplain solusi rugi beli,0
296,Inggit Kurnia,sengaja kasih bintang bacatokoed telat trlalu rumit kirim ylambat bngt kirim mending pake shopee telat smpe kirim pandeglang nyesel nyamau uniistal wort,0
304,Its MyRulelee,error koneksi internet unintsal instal haru uninstal kokmakin kelas,0
309,Teras Music,nyesel bangt pake transaksi tnggl detik aju claim kya duit boss dtlpon pengjauan claim nurutin omong cs transaksi selsai alhasil duit lenyaapp nyesell bngttt gedegg bngtt gilaa,0
316,Jumsa Lahat,susah daptar gantiudah susah,0
319,Satria Anu,kecewa promo rp kirim batal sistem maaf uninstall,0
321,Sohib Moh,nyediain pilih isi pulsa pilih pulsa sayang,0
