,nama,ulasan,label
0,Ardison Samsung,percaya keren banget,1
1,samsudin elfani,aman emang bantu promo ongkir gratis kasih kasih,1
2,Dhika Rahmawati,akun transaksi ramai gabung unduh promo coba beli pakai promo diskon pesan batal otomatis data pakai pakai alamat rumah kakak beda rumah alamat pakai promo verifikasi pakai hapus ribet,1
3,Reza Fisabilillah,kemarin gambar buka buka gara gara sinyal down buka lancar lumayan cepat,1
4,Haviza Yeni official,beli bayar tolong solusi,1
5,and ZYBON,bantu operasi fitur event tarik lapak rp bantu transaksinya mudah costumer ramah bantu solusi sukses,1
6,DngMX,cancel order proses jual tunggu jual proses jual cancel,1
7,Dwi Aditia Satria Utama,nomer dunia,1
8,Imam Hambali,ribet yaaemail password bener verif lagiberhubung nomer aktif ganti nomor dongpas proses foto gagal mulupdhal koneksi internet bagus ajaberkali msih gagal muluhari ganti minggu bisakesel jadinyauninstall baepadahal enakribet skarang,1
10,Asep chanel,kasih bintang bagus puas kasih bintang,1
11,Tirta Kausar,manfaat kreatif,1
12,apa aja,gila daftar pake nomer dapet diskon transaksiin sen dicancel nipu yaudah situ nilai nipu nilai make bintang gaakan pake,1
14,Jo Putra,app tokopedi non aktifkandan transaksitiba saldo potong dngan nominal tmpa transaksibanyak maling,1
15,Difa Safitri,pesan batal uang refund gratis ongkir nyoba gtu gimanasi bolak refund uang pake voucher gratis ongkir,1
16,Aji Ananto,voucher gratis ongkir uang direfund batal otomatis,1
17,Toniton,kesal jual kosong stok tpi msih iklanin bbrapa ngalamin udh beli tpi renspon jual ngasih kabar hubung,1
19,arkadia abimanyu,ulang bayar transaksi dicancel otomatis dana saldo sesuai prosedur diketerangannya salah syarat sesuai muncul transaksi,1
20,Lisaofiasta Affh,buset ongkir mahal dapet traktiran ongkirnyaaa gilaaa shopee kk ajakg lazada murah bet buset niat traktir gmna ayaa,1
22,Galang Gilang,pake promo adaain promo pake cancel sistem cape tranfer balikin saldonya,1
23,TONY JUJUR,sore beli bawang putih belumditerima paciran bantu tony jh,1
24,Eko Wiyono,keren promo pruductnya banget beli,1
25,Rezza Ardiansah,updetan lot biaya bayar konfirmasi aneh,1
26,Ahmad Rosid,layan exis tawar bahan kecewa langgan kasih kasih,1
